dept,via,arr,vol
Victoria,VictoriaOffshoreSF,San Francisco,69042
Victoria,VictoriaOffshoreOS,Portland,4908.2
Victoria,VictoriaOffshoreAS,Honolulu,5968
Victoria,VictoriaOffshoreSC,San Diego,1000
Victoria,VictoriaOffshoreMX,Mazatlan,600
Victoria,VictoriaOffshoreSC,San Pedro,430
Victoria,VictoriaOffshoreAK,Ounalaska,332
Victoria,VictoriaOffshoreAK,Sitka,2565.25
